notebook_id,date_evaluated,tier,total_execution_time
eca89c0554,2022-04-08T07:47:07.470Z,MASTER,5573.173454999999
021bbc7ee2,2022-08-02T09:49:22.587Z,CONTRIBUTOR,152.80016899999998
a2137a2ae8,2022-04-28T06:09:43.927Z,EXPERT,3110.54358
a655fbe4b8,2022-02-06T05:44:17.220Z,CONTRIBUTOR,74.07704700000001
1b318124e3,2021-09-23T00:27:19.700Z,,13.374717
110eec2320,2022-08-05T10:55:26.457Z,CONTRIBUTOR,91.464807
4a213d3724,2022-07-08T07:35:54.883Z,CONTRIBUTOR,4.140391
59a3adea76,2022-07-25T12:03:26.093Z,CONTRIBUTOR,15.038921999999998
37e7897f62,2022-04-01T10:48:51.097Z,,298.17252900000005
38087d90fe,2022-06-29T14:49:14.463Z,CONTRIBUTOR,2.41811
91f5738a82,2022-08-10T03:09:02.903Z,,158.72826000000003
2f885d0fbe,2022-01-19T20:54:56.887Z,,8.942165
ca851e9f71,2022-07-30T12:07:16.980Z,CONTRIBUTOR,10.316173
d6cf4da5ce,2022-01-21T22:27:26.823Z,EXPERT,1900.738759
77340c2e00,2022-01-17T14:37:39.630Z,EXPERT,778.307148
46d0671dd4,2021-07-27T18:48:46.783Z,,444.120372
4e0cb6fb5f,2022-05-03T00:07:22.923Z,EXPERT,2011.50656
a5a61717dd,2020-07-11T11:22:16.210Z,CONTRIBUTOR,0.0
5d151d1059,2022-07-14T02:40:18.060Z,EXPERT,9953.064269
898aef0932,2022-06-10T13:35:52.967Z,EXPERT,250.22702300000003
dda04f9d63,2020-11-16T13:06:13.527Z,EXPERT,1046.078807
a64c94baaf,2022-07-29T06:04:30.357Z,CONTRIBUTOR,271.47999500000003
4607263158,2022-08-04T15:47:55.737Z,,16.055782999999998
e2eabaf963,2022-07-14T17:42:20.503Z,EXPERT,2978.198664
735b90b456,2022-08-07T00:54:14.707Z,CONTRIBUTOR,33659.136773
2d2ca7eedf,2022-08-02T19:39:25.243Z,CONTRIBUTOR,1180.931265
28dc6b0e1b,2022-08-14T12:20:37.110Z,,3.239519
9667150152,2021-10-07T20:58:21.420Z,EXPERT,1385.766646
0f3d014eea,2022-07-20T11:42:06.973Z,CONTRIBUTOR,0.0
d74cb35426,2022-07-23T14:32:12.173Z,MASTER,84.93243000000001
1d72310edc,2022-07-19T06:30:02.203Z,EXPERT,718.253737
0234c510bc,2022-07-14T13:42:32.277Z,CONTRIBUTOR,356.344118
dff8e9c2ac,2022-04-04T20:17:46.940Z,EXPERT,3944.366814
53adaf494d,2022-08-04T06:25:02.160Z,,2.306314
1efa39bcae,2022-01-31T06:57:48.403Z,MASTER,25.172159
252a3dbaeb,2022-05-28T03:28:27.593Z,,7557.041044
ac45088df2,2022-08-10T15:37:02.220Z,,163.748845
f0bbac6fa0,2021-12-22T19:43:25.300Z,CONTRIBUTOR,21.329663999999998
301ad0e3bd,2021-03-29T21:00:42.003Z,CONTRIBUTOR,30.240477
35464c848f,2022-08-14T18:09:16.870Z,,231.57037
d6288499d0,2021-03-02T11:59:42.990Z,CONTRIBUTOR,592.7224530000001
7fa215c9ef,2022-06-03T15:37:02.670Z,,37.870162
da4902cb0b,2022-06-17T09:54:55.537Z,EXPERT,717.909197
7f53f8c6c7,2022-07-15T16:21:57.947Z,,5.022946
174f8f6133,2022-07-10T19:56:09.870Z,EXPERT,7.568168999999999
97af4fb322,2020-11-20T17:01:37.167Z,CONTRIBUTOR,45.89631500000001
dbd22ba3bd,2022-08-03T17:18:26.293Z,EXPERT,33.376095
1ec3e7af38,2022-08-09T16:20:03.273Z,,63.003674
a0833c8a18,2022-07-29T23:04:58.270Z,MASTER,1853.0128470000004
efe937780e,2022-08-06T04:10:23.317Z,CONTRIBUTOR,5.718613
2f3c6a4cd8,2021-12-11T18:12:06.450Z,EXPERT,135.669026
38af86134b,2022-08-08T16:06:43.220Z,,23.909274
754dda4b1b,2022-07-19T20:40:57.397Z,EXPERT,1476.6573119999998
a4d92e2cd5,2021-12-15T16:51:34.677Z,CONTRIBUTOR,9.840585000000004
598920e11d,2022-07-10T07:46:25.913Z,,0.017074
a36e841c52,2022-07-22T10:24:48.527Z,,53.462998
1377e22fd8,2022-08-16T05:04:28.587Z,CONTRIBUTOR,44.189036
74563ba21a,2020-07-27T15:13:34.260Z,CONTRIBUTOR,0.0
12ffb0968f,2022-07-07T18:35:31.647Z,,29.381030000000003
671d8d05d7,2022-07-05T17:05:10.990Z,EXPERT,297.213262
22cf8d98dc,2020-09-03T13:59:25.683Z,EXPERT,1154.57719
ca8155f4d2,2022-08-14T12:54:00.870Z,,7.877983000000001
ddd9dda6bf,2022-08-04T07:21:56.447Z,CONTRIBUTOR,361.806737
6b8b8e3bd6,2022-07-13T15:26:12.317Z,CONTRIBUTOR,47.751844
b8c27b7a1c,2022-07-25T13:28:17.640Z,,1.646084
8ab8dff744,2022-07-25T08:33:49.283Z,,3243.1028370000004
8f468c873a,2021-08-30T17:22:36.040Z,,24.394608
b1563a78ec,2022-03-03T04:50:07.730Z,EXPERT,0.311216
fe709c654e,2021-06-22T15:05:00.110Z,,140.761155
4ae67a7dd7,2022-07-25T21:25:05.057Z,CONTRIBUTOR,6458.971172999999
38181d991c,2022-06-13T04:09:02.360Z,EXPERT,8875.649307
6db291ac99,2022-07-25T11:33:49.840Z,,30.227583
7137debd45,2022-06-01T14:51:17.940Z,GRANDMASTER,34779.650003
8b83881803,2022-06-11T18:23:46.207Z,CONTRIBUTOR,2329.9356430000003
88fee04213,2021-06-07T03:46:26.160Z,EXPERT,1857.23584
8643c8e210,2020-05-12T07:37:13.370Z,CONTRIBUTOR,0.0
2151b4c76b,2022-07-30T00:20:52.217Z,,0.0
ebd9629fc3,2022-08-04T02:35:14.590Z,,0.0
df0aab058c,2022-02-10T03:52:26.897Z,EXPERT,592.4210810000002
916d3891a2,2022-07-11T10:54:07.157Z,EXPERT,796.9786770000001
9a11883317,2022-07-25T20:13:45.370Z,,2.09995
5705e1164a,2021-05-11T19:09:53.063Z,,252.880612
952c3ff98a,2022-02-12T00:27:27.893Z,CONTRIBUTOR,137.50313899999998
3d8e28caf9,2022-06-26T08:46:54.083Z,EXPERT,7058.410602999999
99bcfcd754,2021-02-18T03:32:07.083Z,,611.5896889999999
d6c651ddcd,2022-08-10T09:32:54.783Z,EXPERT,120.492834
0987b8b338,2021-12-11T08:53:06.130Z,MASTER,1987.262977
140f6969d5,2022-07-24T17:35:06.750Z,CONTRIBUTOR,13634.089334000002
0e087ec55d,2022-06-19T01:57:38.780Z,CONTRIBUTOR,12722.236315
08e6bea8e9,2021-08-17T07:59:17.573Z,CONTRIBUTOR,23.134232000000004
7cce53cf90,2021-12-07T00:37:55.407Z,,2.0883770000000004
1485100313,2022-08-05T11:16:21.670Z,EXPERT,172.506758
8b9e7ab295,2022-07-31T10:21:39.210Z,CONTRIBUTOR,7.675105999999999
b8af7d0fbf,2020-07-03T09:36:01.723Z,CONTRIBUTOR,12114.968835999996
847cc55b70,2021-11-30T06:41:25.113Z,EXPERT,219.57769
4d8556695c,2021-12-12T12:17:04.263Z,CONTRIBUTOR,15388.470214
1f4fe6a441,2022-08-14T11:36:30.137Z,EXPERT,2541.379267
63923f49e5,2022-07-31T14:04:26.170Z,,8.708119999999997
d095a94d20,2022-02-10T14:00:16.970Z,MASTER,3428.0240120000003
e846fb8a4f,2022-03-01T09:18:05.910Z,EXPERT,1432.857638
4e9cec1f58,2022-07-14T18:58:22.823Z,EXPERT,101.178219
6a9aeddfc6,2022-07-21T14:15:59.847Z,CONTRIBUTOR,2.756096
3e524bf740,2022-08-09T17:34:41.437Z,CONTRIBUTOR,46.97309099999998
1bf0c59238,2022-08-10T03:21:46.307Z,CONTRIBUTOR,65.53879999999998
9b2f00f373,2022-08-02T11:34:05.283Z,,54.965453
d88518acbc,2022-02-18T05:04:23.290Z,GRANDMASTER,0.285349
acf9221546,2022-06-06T01:27:33.417Z,EXPERT,37580.04779900001
52c5189391,2022-08-11T13:49:40.817Z,,4.966544999999998
dce8af15f0,2021-06-03T07:33:46.593Z,EXPERT,4015.90517
26588e932c,2022-06-19T07:48:59.343Z,EXPERT,282.213915
50dd7100bc,2022-07-30T07:30:58.823Z,EXPERT,1151.3901790000002
f52854cc99,2022-08-09T14:11:23.843Z,CONTRIBUTOR,5.735725
7371364b3d,2022-03-28T13:07:49.790Z,EXPERT,13307.852312
0a113ef6b6,2022-08-14T15:14:27.850Z,,4.987523
dc40b7120e,2022-07-30T06:11:34.157Z,CONTRIBUTOR,195.908654
b53b3a3d6a,2022-07-28T15:45:28.530Z,CONTRIBUTOR,230.05566800000005
d3d9446802,2022-08-08T11:28:50.333Z,EXPERT,4.838175
dc6a7e655d,2022-06-12T14:49:52.047Z,CONTRIBUTOR,1089.1971339999998
608b30e45f,2022-05-03T05:06:19.467Z,MASTER,4495.927359
01259a0cb2,2022-07-27T16:11:14.027Z,,1.768254
b0ab42fcb7,2022-08-07T04:20:51.563Z,CONTRIBUTOR,1.915831
90525e70b7,2022-05-23T01:04:49.887Z,,23.303199
1f4477bad7,2020-12-28T15:17:40.717Z,,18.271582
20479c788f,2022-08-06T07:14:14.650Z,EXPERT,218.79890799999995
56352739f5,2022-08-06T16:48:03.597Z,MASTER,34.840998
4ecb679fd3,2020-08-27T03:47:04.373Z,,98.517624
13168e6a2e,2021-03-31T10:23:31.183Z,,3.209873
bd3ef5c190,2021-01-12T06:28:22.087Z,,40.874272000000005
db116b39f7,2021-12-01T11:17:10.590Z,GRANDMASTER,49.533749
4bbbe6cb59,2022-07-14T01:01:35.447Z,CONTRIBUTOR,111.19106099999992
4aecfbe5d2,2022-07-05T20:22:20.307Z,,3.636213
4f11b55f57,2022-07-21T01:34:26.147Z,,0.730303
3f5ee24354,2022-08-04T20:55:14.443Z,EXPERT,401.448465
31c0c178a9,2020-11-02T15:53:37.367Z,,766.1089489999999
db9eeb7e67,2022-01-16T17:23:09.127Z,CONTRIBUTOR,0.0
231141b34c,2020-12-20T19:37:05.560Z,CONTRIBUTOR,20.470558000000004
285ab9448d,2022-08-15T11:55:51.433Z,CONTRIBUTOR,792.512536
3de2334a31,2020-05-07T17:45:29.830Z,,0.0
8abfe8ac9e,2022-08-01T04:13:40.883Z,,28.304631000000004
309fee4e54,2022-07-17T11:51:30.923Z,CONTRIBUTOR,3.4389330000000005
193002e668,2021-12-17T11:11:47.217Z,,0.044751
07811dc6c4,2022-02-16T21:12:13.260Z,CONTRIBUTOR,2.127663
9713faa264,2022-07-08T11:05:56.817Z,,5.364331
98d8a23fd6,2021-04-16T05:24:55.683Z,,34.116046999999995
061412e4a0,2022-07-27T06:40:19.810Z,EXPERT,10.111047
0c74b7f784,2022-07-22T06:27:23.697Z,EXPERT,2484.438748
d759175de8,2022-08-02T16:28:12.027Z,MASTER,46.19085100000001
5c80985bd4,2022-08-13T16:47:58.117Z,,7.423689
e82c4b19b8,2022-07-28T14:06:43.283Z,CONTRIBUTOR,6.941487
0fc170ecbb,2022-05-27T09:34:58.853Z,CONTRIBUTOR,564.9594519999999
30aaf34d6a,2022-07-06T16:47:04.260Z,,232.915967
2c758933af,2022-06-12T10:31:12.057Z,CONTRIBUTOR,4153.581240999999
d714d2c5a7,2022-08-13T10:15:39.157Z,,3.461558
68053af292,2022-01-26T09:37:53.443Z,CONTRIBUTOR,191.478393
f3b7e5d3eb,2022-08-15T09:40:17.080Z,CONTRIBUTOR,3.175412
ae1eaa32d1,2022-02-09T19:30:29.510Z,,0.129676
fccb60fb51,2022-07-07T06:34:39.510Z,MASTER,25.469709
52c409f157,2021-11-16T19:32:17.343Z,GRANDMASTER,4950.321365
eaa32c96f6,2022-08-02T09:23:11.143Z,,3507.342266
a5e0ff62be,2022-02-24T15:05:13.667Z,CONTRIBUTOR,2369.8957749999995
5ca3e9b122,2022-05-25T06:50:21.917Z,,4247.939659
4110a19944,2022-07-12T08:51:57.827Z,,39.013108
0f3c5d0c36,2022-05-19T11:47:29.447Z,,2241.3396140000004
a4f23670e1,2022-08-09T12:04:43.040Z,CONTRIBUTOR,930.040646
b069b34151,2022-08-03T22:40:57.063Z,,21046.578624
9854d7afce,2021-07-27T16:45:12.197Z,EXPERT,451.128438
d5cfead94f,2022-07-15T12:51:31.313Z,EXPERT,365.8722229999999
33e8075e99,2022-07-01T15:33:32.430Z,CONTRIBUTOR,849.3456679999999
767b2cc82c,2020-05-12T15:21:21.737Z,,0.0
f15d337c70,2022-07-02T14:41:26.543Z,CONTRIBUTOR,19.932524
6a182a16e6,2022-08-10T07:29:51.847Z,CONTRIBUTOR,33540.580914000006
442cde8169,2020-12-14T14:06:03.967Z,CONTRIBUTOR,304.60192599999993
f4b9ec30ad,2022-03-20T23:06:47.493Z,EXPERT,2.732684
a9365bd906,2022-08-06T00:35:08.127Z,CONTRIBUTOR,7.399397
add217938e,2021-10-18T14:41:12.600Z,EXPERT,23.764405
4f1f29888c,2022-02-02T00:18:45.783Z,EXPERT,375.72322
9fb7b048c9,2022-07-09T15:24:22.757Z,CONTRIBUTOR,1786.808425
6c91724b89,2022-08-11T22:23:07.347Z,EXPERT,21.20781400000001
f4dd765c12,2022-08-08T01:27:33.953Z,CONTRIBUTOR,315.71204400000005
c09f9caf5e,2022-08-06T11:28:16.003Z,EXPERT,46.733997
519c841559,2022-04-22T04:33:39.847Z,CONTRIBUTOR,183.10215999999997
7895fc1308,2022-07-13T19:31:45.210Z,EXPERT,58.501327
81dc9bdb52,2022-07-05T12:08:28.437Z,CONTRIBUTOR,798.6896830000001
df4fe8a8bc,2022-07-18T06:48:52.260Z,,16.806978000000004
4e0d67e54a,2022-07-27T14:44:24.343Z,CONTRIBUTOR,8424.771163000001
2ef3e50fd7,2022-05-30T10:32:39.163Z,GRANDMASTER,37.460856
b19aa25ff5,2022-07-19T13:08:12.013Z,CONTRIBUTOR,23990.687059
b139aeda1c,2022-08-05T15:36:26.823Z,,5.290227
b706835de7,2022-03-15T18:35:54.277Z,CONTRIBUTOR,1209.822623
0f49c89d1e,2022-07-05T12:36:37.287Z,EXPERT,149.96705799999998
70fcb77e63,2020-09-16T18:45:46.120Z,,119.393461
533fa796b4,2021-10-06T19:29:20.860Z,GRANDMASTER,876.3376220000001
ed57844fa5,2021-11-11T19:40:06.983Z,EXPERT,103.23840800000004
9de6d14fff,2022-07-20T09:13:17.753Z,,8.829995999999998
9f1f64b519,2021-11-24T07:39:36.407Z,GRANDMASTER,0.134104
3a066bda8c,2021-11-14T15:01:44.323Z,EXPERT,110.90116100000002
13f9896df6,2022-07-25T14:21:14.217Z,EXPERT,2674.8981810000005
4a06d868d0,2022-07-21T15:25:17.137Z,CONTRIBUTOR,11.533636
b89c30965e,2022-07-31T13:47:06.453Z,CONTRIBUTOR,10.779004999999998
be83ab3ecd,2020-12-06T18:11:20.447Z,CONTRIBUTOR,923.253979
e995f98d56,2022-06-04T10:00:43.130Z,,619.443011
c06d06da96,2022-08-04T20:23:14.673Z,,114.91054299999998
4cf33e18ed,2022-07-21T23:08:18.387Z,CONTRIBUTOR,4.021289
fc9b003bb0,2022-04-16T18:27:03.227Z,MASTER,53.301937
f9d1152547,2022-01-20T06:43:19.277Z,,0.122234
d86ea612de,2022-08-13T17:44:01.687Z,,15.783521999999996
3e195b0793,2021-11-24T07:28:29.433Z,EXPERT,238.757031
cc3d69ed78,2022-07-16T15:48:44.180Z,CONTRIBUTOR,11.576376000000003
47810f956e,2022-08-12T18:21:59.300Z,CONTRIBUTOR,5.019089999999999
52b738b303,2021-05-20T22:43:28.533Z,,3887.525551
7f975a56c7,2022-07-27T07:18:19.547Z,CONTRIBUTOR,3.816524
277281aada,2022-08-04T14:51:29.410Z,EXPERT,11.360389
92fb0c6d17,2022-08-12T14:49:23.160Z,CONTRIBUTOR,3.1185179999999995
cedebb6e87,2022-07-23T13:33:41.757Z,,3.644817
df0e09d6f2,2022-02-22T11:06:51.820Z,GRANDMASTER,5565.911052
e96ed478da,2022-07-05T23:41:25.837Z,CONTRIBUTOR,4629.528006
fe7ee8fc19,2022-07-22T16:42:47.307Z,MASTER,11.766063
1141938ba2,2022-07-28T16:45:47.953Z,,3.746797
4491777b1a,2022-07-28T02:57:38.303Z,,3.470122
51d92be1c6,2022-06-29T22:31:25.297Z,,4034.552136
26310c700f,2022-08-03T08:24:58.870Z,EXPERT,36.209947
93fb9d4b16,2022-01-01T17:12:38.483Z,GRANDMASTER,2.281494
c24fe9f765,2022-01-09T17:22:48.840Z,CONTRIBUTOR,952.543236
64b3ec1fdf,2022-08-14T23:23:39.917Z,CONTRIBUTOR,3.335825
98dce83da5,2022-07-12T16:50:20.537Z,CONTRIBUTOR,2.3469230000000003
5ee0070c40,2022-07-21T19:57:22.503Z,CONTRIBUTOR,0.6819250000000001
4122cb13c7,2022-08-16T04:03:56.943Z,,18.381005
9bdb8b1faf,2021-05-12T18:52:53.203Z,,35.103066
a385d7d1e5,2022-05-31T10:32:48.040Z,,797.1552829999999
182e6c2d3d,2022-07-16T10:30:58.893Z,,28.930079000000003
33e75ff09d,2021-12-04T21:12:26.650Z,CONTRIBUTOR,1397.226358
bbeb0c1b1f,2022-01-14T16:23:00.627Z,CONTRIBUTOR,207.22385300000005
f231f2107d,2022-07-03T15:48:31.720Z,CONTRIBUTOR,43.490302
28acfe2da4,2022-02-21T06:54:13.093Z,EXPERT,19143.389204
97416ac0f5,2022-07-30T07:40:34.543Z,CONTRIBUTOR,2.230583
489d0396e6,2021-03-14T21:06:17.320Z,MASTER,8091.557104
b0169350cd,2022-08-07T11:49:31.297Z,CONTRIBUTOR,4.997348999999998
861637a425,2022-07-21T13:22:35.957Z,,9791.29963
ae1d2c2d95,2022-07-03T09:01:20.243Z,CONTRIBUTOR,10007.531806
4ebd440d99,2022-04-26T17:49:47.420Z,CONTRIBUTOR,332.0133930000002
8e065119c7,2021-01-19T10:44:21.023Z,CONTRIBUTOR,5.458607
8a20a86219,2022-06-16T09:56:46.127Z,CONTRIBUTOR,532.0574909999999
084b6fbb10,2022-07-18T23:31:12.983Z,EXPERT,1429.3086810000004
5d0cb12f8c,2022-05-16T17:33:27.290Z,MASTER,23725.191954
9808ae3875,2022-08-07T12:00:49.623Z,,92.743031
4c2e5eaae9,2021-11-30T13:17:07.867Z,EXPERT,3.021078
e0f120eefd,2022-06-05T19:25:47.427Z,CONTRIBUTOR,18.358082
977b33ace8,2022-05-15T15:40:38.350Z,CONTRIBUTOR,20.546662
438124b4c0,2022-08-12T07:46:41.643Z,,32.570119
33ceb07bf4,2020-08-11T14:54:42.957Z,CONTRIBUTOR,16.734265
52c670999c,2022-01-07T09:05:22.320Z,EXPERT,394.40251400000005
443dec3062,2021-11-21T17:14:42.060Z,CONTRIBUTOR,267.515674
ab233b682e,2022-07-28T05:38:26.120Z,,23.481929
577bcc914f,2022-08-05T22:52:51.077Z,EXPERT,70.59436099999999
9bf31c7ff0,2022-07-25T11:52:22.980Z,CONTRIBUTOR,7.749181000000002
052335232b,2022-08-08T00:50:17.357Z,EXPERT,0.0
4e732ced34,2021-11-29T13:18:03.020Z,CONTRIBUTOR,0.096672
e1b90346c9,2022-07-27T21:43:46.087Z,,0.0
6351bf9dce,2020-10-27T23:15:02.987Z,CONTRIBUTOR,9.8704
2517756c5a,2022-06-11T10:47:09.517Z,,22021.145918
ba1b3eba32,2021-07-14T23:01:11.480Z,CONTRIBUTOR,53.34752
8d55a249e6,2022-06-25T04:30:04.350Z,EXPERT,65.357943
147702db07,2022-07-24T07:09:41.357Z,CONTRIBUTOR,1547.090235
9978b7063e,2022-06-04T10:12:58.977Z,MASTER,24.795717000000003
018b59ce1f,2020-05-27T02:30:01.143Z,CONTRIBUTOR,0.0
789a283923,2022-06-07T09:28:45.783Z,MASTER,3931.680351
70c639df5e,2022-04-11T18:50:09.167Z,STAFF,227.064256
7634ea65a4,2022-07-09T12:20:15.080Z,EXPERT,817.2636840000002
03255088ed,2022-07-07T07:29:41.237Z,EXPERT,24.488088
b23f522024,2021-04-26T03:59:45.980Z,CONTRIBUTOR,4691.280692
5b69b9cb83,2022-01-30T09:35:29.077Z,EXPERT,3.843261
a941493eee,2022-07-19T06:18:02.803Z,EXPERT,65.38416500000001
f4334c131c,2021-01-02T02:02:23.107Z,,13.199773
62da8c91ce,2022-05-25T09:04:23.223Z,,28410.22317
82489c9737,2022-05-30T06:53:28.930Z,,0.0
60e1deb043,2022-08-10T17:58:48.630Z,,4551.70468
bb03e43ffe,2022-07-14T15:12:54.047Z,EXPERT,749.5095990000001
7f1171a78c,2022-07-30T03:28:34.720Z,EXPERT,3746.77473
e8dfff4676,2021-01-19T11:29:33.500Z,CONTRIBUTOR,476.505575
c911241d00,2022-07-23T13:12:15.460Z,CONTRIBUTOR,46.31502399999997
e6c2dc3dee,2022-07-24T14:45:33Z,CONTRIBUTOR,6.12389
4b04b0dcd2,2022-05-10T07:27:43.853Z,,44.192986
9f61408e3a,2022-07-16T02:00:12.303Z,CONTRIBUTOR,1022.662336
fd4c2dc64c,2020-06-05T11:48:15.100Z,EXPERT,0.0
9457fc28ce,2022-07-17T20:38:59.930Z,EXPERT,23121.380165
e49b8b4053,2022-08-08T01:43:20.587Z,GRANDMASTER,31.98209600000001
36ed197b3f,2022-07-21T20:05:18.610Z,,44.09291300000002
6c530aae76,2022-07-24T16:12:12.327Z,EXPERT,55.55374300000001
9f6992966d,2022-08-12T03:30:58.593Z,CONTRIBUTOR,0.0
ef4e3b775c,2022-08-14T10:09:13.633Z,CONTRIBUTOR,3.701265
2d199f9abd,2020-11-20T09:20:25.447Z,MASTER,69.936631
acf666483b,2022-03-23T22:45:34.227Z,EXPERT,30284.300519
6490791e7a,2022-07-14T14:42:10.590Z,CONTRIBUTOR,437.702544
e0a209539d,2022-08-07T18:36:50.097Z,,35.69108000000001
a981f2b708,2022-07-26T09:52:21.260Z,,1.594197
1113d7a76f,2022-06-26T18:03:37.990Z,GRANDMASTER,0.838484
856fc81623,2021-11-22T20:52:23.817Z,GRANDMASTER,18.256055
856b503e27,2022-07-13T06:17:59.733Z,,8.707816
f670ef5d2d,2022-06-03T18:48:05.193Z,EXPERT,11.811242000000002
3953630da2,2022-08-09T06:48:22.580Z,EXPERT,111.131557
7369f3c86b,2022-07-15T15:52:00.383Z,MASTER,22544.944938
ca9c267dad,2022-04-14T11:49:28.797Z,EXPERT,87.606828
a012869311,2022-08-12T14:33:01.683Z,EXPERT,40.368481
943aa0fcda,2022-07-09T23:08:24.600Z,EXPERT,37.148758
490640b435,2022-07-04T12:02:47.990Z,CONTRIBUTOR,120.00573300000002
33bb83720b,2022-08-06T06:41:16.067Z,CONTRIBUTOR,4425.003478
9aa42b3188,2022-06-04T07:14:18.993Z,,1595.99318
c79ec57a8e,2022-07-05T12:22:28.357Z,,37.08856399999999
31b91e3a87,2022-06-21T10:39:57.160Z,CONTRIBUTOR,129.05298000000002
7f278ad602,2022-04-27T00:20:42.910Z,GRANDMASTER,216.400762
8c9f32e03a,2022-02-12T06:05:22.663Z,,0.109527
842424a1d0,2022-06-04T15:29:40.590Z,,342.376431
5dec707028,2021-01-02T21:45:14.503Z,,0.0
2de5d16682,2022-08-05T12:21:39.867Z,,1853.96834
2b44928ae1,2022-07-14T08:12:29.470Z,,6499.499376
d2d2c6e244,2022-06-10T14:50:58.797Z,CONTRIBUTOR,994.438075
dca5672ff3,2022-08-01T04:39:12.357Z,EXPERT,6887.021653000001
c203d8a151,2022-07-30T16:35:48.753Z,EXPERT,775.8648109999999
cc1aa43627,2022-08-14T03:15:21.753Z,CONTRIBUTOR,54.08954399999999
ab6439fa2d,2022-07-18T03:11:03.267Z,EXPERT,1050.31998
b67fb3360a,2022-07-30T16:20:47.413Z,EXPERT,3790.693994
0314c9b108,2022-08-14T03:16:33.127Z,EXPERT,13.956605
2ef35a8b78,2021-11-21T11:43:34.007Z,EXPERT,2135.626149
5487315b12,2022-07-16T11:42:58.813Z,CONTRIBUTOR,9744.801079999996
1a551829d5,2022-08-12T01:04:55.563Z,,223.83199800000008
cabad3b9bc,2021-12-11T00:17:16.473Z,,1906.795356
3546ab441e,2021-11-08T17:20:13.717Z,EXPERT,1387.9639840000002
6e2eec9ca1,2022-08-10T11:22:35.950Z,CONTRIBUTOR,316.205379
6d9cb7de5e,2022-08-07T17:48:23.757Z,CONTRIBUTOR,2204.572892
4a3e00961a,2022-06-12T02:46:22.480Z,,883.163865
97e8527fea,2021-02-20T17:02:38.950Z,,68.568373
90794e3b05,2022-02-15T19:27:41.013Z,MASTER,5.470257
310ce61c90,2022-07-09T16:31:40.700Z,,2.2546770000000005
1f50893f80,2022-06-20T06:07:44.620Z,MASTER,164.66798799999998
092cb13c22,2022-07-13T11:59:55.307Z,EXPERT,4337.432924000001
9c3b183051,2022-07-22T02:11:34.400Z,MASTER,296.502298
8d6dc35e50,2022-08-10T02:27:37.763Z,CONTRIBUTOR,4.612152999999998
01d8bae291,2022-08-02T03:54:15.557Z,CONTRIBUTOR,31.797416
955cb567b6,2022-08-04T17:22:39.983Z,,1853.203044
192fc044e7,2022-08-10T21:50:30.107Z,CONTRIBUTOR,243.91136500000007
2c3ddf4bf1,2022-08-01T09:46:22.080Z,,5.222669
26e359e838,2022-07-04T11:10:07.727Z,CONTRIBUTOR,4412.820334
